stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,wheelchair_boarding,parent_station,platform_code
B00313P,,Direktorat Jenderal Pajak,,-6.224628,106.815580,1,,0,2,,
B00697P,,Green Lake City,,-6.177644,106.711980,1,,0,2,,
B00316P,,Dishub Jakut,,-6.122876,106.893670,1,,0,2,,
B00317P,,Dittopad,,-6.174759,106.848230,1,,0,2,,
B00318P,,Dittopad 2,,-6.174618,106.850090,1,,0,2,,
B00319P,,DPD Golkar,,-6.197504,106.840220,1,,0,2,,
B00320P,,DPP FPI,,-6.194368,106.805360,1,,0,2,,
B00321P,,DPR MPR 1,,-6.208517,106.803790,1,,0,2,,
B00322P,,DPR MPR 2,,-6.206314,106.801940,1,,0,2,,
B00324P,,Dukuh 5,,-6.289913,106.877530,1,,0,2,,
B00325P,,Dukuh Atas 3,,-6.205650,106.822500,1,,0,2,,
B00326P,,Dukuh Atas 4,,-6.204819,106.822100,1,,0,2,,
B00327P,,Dukuh Permai Residence,,-6.302631,106.878500,1,,0,2,,
B00328P,,Duren Sawit,,-6.233341,106.910060,1,,0,2,,
B00329P,,Duren Tiga 1,,-6.252132,106.827020,1,,0,2,,
B00330P,,Duri Kepa 1,,-6.185474,106.768360,1,,0,2,,
B00331P,,Duri Kepa 2,,-6.185432,106.768540,1,,0,2,,
B00332P,,Dwijaya,,-6.262287,106.788550,1,,0,2,,
B00333P,,Ekowisata Mangrove,,-6.121673,106.754820,1,,0,2,,
B00334P,,EKS Komplek Gaya Motor,,-6.105771,106.930630,1,,0,2,,
B00335P,,Embun Pagi Islamic Elementary School,,-6.248768,106.929110,1,,0,2,,
B00336P,,Embun Pagi Islamic School,,-6.247711,106.918920,1,,0,2,,
B00340P,,Epiwalk Epicentrum,,-6.217666,106.835470,1,,0,2,,
B00341P,,Erha Clinic,,-6.147269,106.897960,1,,0,2,,
B00342P,,Essence Dharmawangsa,,-6.257365,106.804950,1,,0,2,,
B00344P,,Exit Tol UKI,,-6.257445,106.870490,1,,0,2,,
B00346P,,Farmasi RP Soeroso,,-6.187939,106.836080,1,,0,2,,
B00347P,,Fatmawati 1,,-6.292571,106.797430,1,,0,2,,
B00348P,,Fatmawati 2,,-6.291994,106.796060,1,,0,2,,
B00349P,,Flyover Bintaro,,-6.257480,106.764780,1,,0,2,,
B00350P,,Flyover Cipinang Lontar,,-6.212876,106.888910,1,,0,2,,
B00351P,,Flyover HBR Motik 1,,-6.152627,106.849890,1,,0,2,,
B00352P,,Flyover HBR Motik 2,,-6.152807,106.850600,1,,0,2,,
B05923P,,Yayasan Miftahussaadah,,-6.136853,106.714210,1,,0,2,,
B00355P,,Flyover Jatinegara 2,,-6.215074,106.873320,1,,0,2,,
B00356P,,Flyover Jatinegara Atas,,-6.214553,106.873880,1,,0,2,,
B00357P,,Flyover Jatinegara Bawah,,-6.214707,106.873830,1,,0,2,,
B01995P,,Klinik Persada Sari,,-6.177280,106.722260,1,,0,2,,
B00359P,,Flyover Karet,,-6.215434,106.818670,1,,0,2,,
B00360P,,Flyover Karet 2,,-6.214808,106.818470,1,,0,2,,
B00361P,,Flyover Klender 1,,-6.213499,106.902450,1,,0,2,,
